task_type,n,in_total,in_mean,out_total,out_mean,tot_total,tot_mean,dur_total,dur_mean
(unlabelled),27,21724,804.6,3882,143.8,25606,948.4,100.0,3.7
社交媒体,5,3788,757.6,757,151.4,4545,909,17.7,3.53
生活,5,3584,716.8,699,139.8,4283,856.6,17.8,3.56
旅游,4,2999,749.8,585,146.2,3584,896,17.2,4.31
购物,3,2225,741.7,506,168.7,2731,910.3,10.9,3.64
娱乐,1,838,838,173,173,1011,1011,5.3,5.35
系统软件,1,532,532,86,86,618,618,3.4,3.38
出行,1,757,757,187,187,944,944,3.7,3.68
信息搜索,1,476,476,93,93,569,569,2.9,2.93
学术搜索,1,612,612,107,107,719,719,3.2,3.18
比价,1,812,812,186,186,998,998,4.4,4.4
