task_type,n,in_total,in_mean,out_total,out_mean,tot_total,tot_mean,dur_total,dur_mean,apps_mean
(unlabelled),32,24514,766.1,4634,144.8,29148,910.9,137.4,4.29,1.69
办公协助,18,12769,709.4,2454,136.3,15223,845.7,70.7,3.93,1.67
生活,17,11891,699.5,2355,138.5,14246,838,71.0,4.17,1.35
社交媒体,11,7597,690.6,1408,128,9005,818.6,43.3,3.93,1.55
出行,7,5660,808.6,1242,177.4,6902,986,31.6,4.52,1.86
系统软件,5,2903,580.6,517,103.4,3420,684,16.6,3.31,1
旅游,4,2953,738.2,595,148.8,3548,887,18.2,4.54,1
购物,3,2179,726.3,508,169.3,2687,895.7,10.8,3.59,2
娱乐,2,1371,685.5,266,133,1637,818.5,6.8,3.38,1.5
信息搜索,2,1009,504.5,210,105,1219,609.5,5.7,2.83,1
学术搜索,1,589,589,128,128,717,717,2.8,2.75,1
比价,1,789,789,227,227,1016,1016,5.8,5.77,3
